,Número,Nombre Constructor,Número CUIT,Tipo,Estado,Fecha perfeccionamiento,Monto,Moneda,tramite,tramite_estado,tramite_nombre_proc,tramite_exp_num,tramite_uoc
0,,,,,,,,,81-0013-LPU17,Desierto,HOSPITAL DR. ALEJANDRO POSADAS - HAEDO - PARTIDO DE MORÓN - PROVINCIA DE BUENOS AIRES,EX-2017-04986466-   -APN-DPYS#MI,81/000 - Dirección General del Servicio Administrativo Financiero - Ministerio del Interior
0,81-1107-CON18,JCR S.A.,30688020715,Original,Perfeccionado,04/6/2018,276.350.00000,Peso Argentino,81-0035-LPU17,Adjudicado,Obra CANALES “MONES CAZÓN” y “DERIVACIÓN REPUBLICA DE ITALIA – MONES CAZÓN Provincia de BUENOS AIRES,EX-2017-16147341-   -APN-DPYS#MI,81/000 - Dirección General del Servicio Administrativo Financiero - Ministerio del Interior
1,81-1105-CON18,PENTAMAR S.A.,30519113534,Original,Perfeccionado,05/6/2018,136.000.00000,Peso Argentino,81-0035-LPU17,Adjudicado,Obra CANALES “MONES CAZÓN” y “DERIVACIÓN REPUBLICA DE ITALIA – MONES CAZÓN Provincia de BUENOS AIRES,EX-2017-16147341-   -APN-DPYS#MI,81/000 - Dirección General del Servicio Administrativo Financiero - Ministerio del Interior
2,81-1108-CON18,SABAVISA SA,30640854274,Original,Perfeccionado,06/6/2018,286.326.31390,Peso Argentino,81-0035-LPU17,Adjudicado,Obra CANALES “MONES CAZÓN” y “DERIVACIÓN REPUBLICA DE ITALIA – MONES CAZÓN Provincia de BUENOS AIRES,EX-2017-16147341-   -APN-DPYS#MI,81/000 - Dirección General del Servicio Administrativo Financiero - Ministerio del Interior
3,81-1106-CON18,Vialmani S.A.,30574066537,Original,Perfeccionado,05/6/2018,353.811.63299,Peso Argentino,81-0035-LPU17,Adjudicado,Obra CANALES “MONES CAZÓN” y “DERIVACIÓN REPUBLICA DE ITALIA – MONES CAZÓN Provincia de BUENOS AIRES,EX-2017-16147341-   -APN-DPYS#MI,81/000 - Dirección General del Servicio Administrativo Financiero - Ministerio del Interior
4,81-1109-CON18,VIAL-TEC S.A.-KAVOS S.A.-CANALES MONES CAZON- UNION TRANSITORIA,30716044889,Original,Perfeccionado,04/6/2018,157.450.78394,Peso Argentino,81-0035-LPU17,Adjudicado,Obra CANALES “MONES CAZÓN” y “DERIVACIÓN REPUBLICA DE ITALIA – MONES CAZÓN Provincia de BUENOS AIRES,EX-2017-16147341-   -APN-DPYS#MI,81/000 - Dirección General del Servicio Administrativo Financiero - Ministerio del Interior
0,81-1289-CON18,BENITO ROGGIO E HIJOS S.A. - ELEPRINT S.A. - ECODYMA S.A. - Unión Transitoria,30716288214,Original,Perfeccionado,06/5/2019,3.493.444.64954,Peso Argentino,81-0037-LPU17,Adjudicado,SALADO IV - TRAMOS 3 Y 4,EX-2017-20367712-   -APN-DGSAF#MI,81/000 - Dirección General del Servicio Administrativo Financiero - Ministerio del Interior
1,81-1290-CON18,JOSÉ J. CHEDIACK S.A.I.C.A.- Helport S.A.- Sabavisa S.A.- UT,30716465477,Original,Perfeccionado,06/5/2019,2.668.000.00000,Peso Argentino,81-0037-LPU17,Adjudicado,SALADO IV - TRAMOS 3 Y 4,EX-2017-20367712-   -APN-DGSAF#MI,81/000 - Dirección General del Servicio Administrativo Financiero - Ministerio del Interior
0,452-1000-CON18,Bureau Veritas Argentina S.A.,33658043779,Original,Perfeccionado,27/3/2018,94.190.76300,Peso Argentino,452-0007-LPU17,Adjudicado,Inspección de Obra y Control de Calidad de Suministros.,EX-2017-17470333-   -APN-DCC#MEM,452/000 - Dirección General de Administración y Finanzas - MEM
0,,,,,,,,,81-0017-LPU17,Fracasado,"RESTAURACIÓN Y PUESTA EN VALOR ""EDIFICIO DE CORREOS DE SANTA FE""",EX-2017-05252106-   -APN-DPYS#MI,81/000 - Dirección General del Servicio Administrativo Financiero - Ministerio del Interior
0,501-0404-CON20,Constructora Lanusse SA – Emaco SA (UT),30715915452,Original,Perfeccionado,25/4/2018,160.909.97851,Peso Argentino,81-0040-LPU17,Adjudicado,PALACIO NACIONAL DE LAS ARTES - PALAIS DE GLACE,EX-2017-22557930-   -APN-DNA#MI,81/000 - Dirección General del Servicio Administrativo Financiero - Ministerio del Interior
1,81-0001-CON18,Constructora Lanusse SA – Emaco SA (UT),30715915452,Original,Anulado,,160.909.97851,Peso Argentino,81-0040-LPU17,Adjudicado,PALACIO NACIONAL DE LAS ARTES - PALAIS DE GLACE,EX-2017-22557930-   -APN-DNA#MI,81/000 - Dirección General del Servicio Administrativo Financiero - Ministerio del Interior
2,81-1095-CON18,Constructora Lanusse SA – Emaco SA (UT),30715915452,Original,Cumplido,25/4/2018,160.909.97851,Peso Argentino,81-0040-LPU17,Adjudicado,PALACIO NACIONAL DE LAS ARTES - PALAIS DE GLACE,EX-2017-22557930-   -APN-DNA#MI,81/000 - Dirección General del Servicio Administrativo Financiero - Ministerio del Interior
0,,,,,,,,,81-0011-LPU17,Pendiente Afectación_error,,,
0,23-0003-CON17,CONORVIAL SA,30516492747,Original,Perfeccionado,29/12/2017,255.207.27282,Peso Argentino,23-0026-LPU17,Adjudicado,Remodelacion 2ds. Etapa Casa de Gobiero,EX-2017-25096860-   -APN-DDMYA#SGP,23/000 - Dirección General de Administración - SG
0,23-1016-CON18,DEMOLICIONES MITRE SRL,30657536551,Original,Perfeccionado,07/5/2018,847.49411,Peso Argentino,23-0015-LPU17,Adjudicado,Demolición dependencias Residencia Presidencial de Olivos.,EX-2017-14949256-   -APN-DDMYA#SGP,23/000 - Dirección General de Administración - SG
0,82-1073-CON18,CONSTRUCTORA VENETTO S.A.,30709662674,Original,Autorizado,,128.508.05950,Peso Argentino,82-0018-LPU17,Pendiente Autorizar Ordenes Compra,Construcción de Jardines de Infantes Zona Patagonia Norte,EX-2017-19231450-   -APN-DC#ME,82/000 - Dirección General de Administración y Gestión Financiera - ME
0,,,,,,,,,82-0019-LPU17,Dejado Sin Efecto,Construcción de Jardines de Infantes Zona Cuyo y Córdoba,EX-2017-19233312-   -APN-DC#ME,82/000 - Dirección General de Administración y Gestión Financiera - ME
0,,,,,,,,,82-0020-LPU17,Dejado Sin Efecto,Construcción de Jardines de Infantes Zona Centro Sur,EX-2017-19234086-   -APN-DC#ME,82/000 - Dirección General de Administración y Gestión Financiera - ME
0,,,,,,,,,82-0021-LPU17,Dejado Sin Efecto,Construcción de Jardines de Infantes Zona Centro Norte,EX-2017-19234676-   -APN-DC#ME,82/000 - Dirección General de Administración y Gestión Financiera - ME
0,82-1063-CON18,BOETTO Y BUTTIGLIENGO S.A. - ASTORI CONSTRUCCIONES S.A. - UT,30715519824,Original,Perfeccionado,22/10/2018,15.988.84556,Peso Argentino,82-0029-LPU17,Adjudicado,CONSTRUCCION DE JARDINES DE INFANTES - ZONA CUYO Y CORDOBA,EX-2017-23744442-   -APN-DC#ME,82/000 - Dirección General de Administración y Gestión Financiera - ME
1,82-1064-CON18,BOETTO Y BUTTIGLIENGO S.A. - ASTORI CONSTRUCCIONES S.A. - UT,30715519824,Original,Perfeccionado,22/10/2018,16.358.41501,Peso Argentino,82-0029-LPU17,Adjudicado,CONSTRUCCION DE JARDINES DE INFANTES - ZONA CUYO Y CORDOBA,EX-2017-23744442-   -APN-DC#ME,82/000 - Dirección General de Administración y Gestión Financiera - ME
2,82-1065-CON18,BOETTO Y BUTTIGLIENGO S.A. - ASTORI CONSTRUCCIONES S.A. - UT,30715519824,Original,Perfeccionado,22/10/2018,21.076.29586,Peso Argentino,82-0029-LPU17,Adjudicado,CONSTRUCCION DE JARDINES DE INFANTES - ZONA CUYO Y CORDOBA,EX-2017-23744442-   -APN-DC#ME,82/000 - Dirección General de Administración y Gestión Financiera - ME
3,82-1066-CON18,BOETTO Y BUTTIGLIENGO S.A. - ASTORI CONSTRUCCIONES S.A. - UT,30715519824,Original,Perfeccionado,22/10/2018,16.772.41908,Peso Argentino,82-0029-LPU17,Adjudicado,CONSTRUCCION DE JARDINES DE INFANTES - ZONA CUYO Y CORDOBA,EX-2017-23744442-   -APN-DC#ME,82/000 - Dirección General de Administración y Gestión Financiera - ME
4,82-1067-CON18,BOETTO Y BUTTIGLIENGO S.A. - ASTORI CONSTRUCCIONES S.A. - UT,30715519824,Original,Perfeccionado,22/10/2018,16.148.07828,Peso Argentino,82-0029-LPU17,Adjudicado,CONSTRUCCION DE JARDINES DE INFANTES - ZONA CUYO Y CORDOBA,EX-2017-23744442-   -APN-DC#ME,82/000 - Dirección General de Administración y Gestión Financiera - ME
5,82-1068-CON18,COBA SRL - MATEO CONSTRUCTORA SRL UNION TRANSITORIA,30716047624,Original,Perfeccionado,17/10/2018,14.826.24624,Peso Argentino,82-0029-LPU17,Adjudicado,CONSTRUCCION DE JARDINES DE INFANTES - ZONA CUYO Y CORDOBA,EX-2017-23744442-   -APN-DC#ME,82/000 - Dirección General de Administración y Gestión Financiera - ME
6,82-1069-CON18,COBA SRL - MATEO CONSTRUCTORA SRL UNION TRANSITORIA,30716047624,Original,Perfeccionado,17/10/2018,23.857.68916,Peso Argentino,82-0029-LPU17,Adjudicado,CONSTRUCCION DE JARDINES DE INFANTES - ZONA CUYO Y CORDOBA,EX-2017-23744442-   -APN-DC#ME,82/000 - Dirección General de Administración y Gestión Financiera - ME
7,82-1070-CON18,COBA SRL - MATEO CONSTRUCTORA SRL UNION TRANSITORIA,30716047624,Original,Perfeccionado,17/10/2018,23.454.48404,Peso Argentino,82-0029-LPU17,Adjudicado,CONSTRUCCION DE JARDINES DE INFANTES - ZONA CUYO Y CORDOBA,EX-2017-23744442-   -APN-DC#ME,82/000 - Dirección General de Administración y Gestión Financiera - ME
8,82-1071-CON18,COBA SRL - MATEO CONSTRUCTORA SRL UNION TRANSITORIA,30716047624,Original,Perfeccionado,17/10/2018,24.610.21762,Peso Argentino,82-0029-LPU17,Adjudicado,CONSTRUCCION DE JARDINES DE INFANTES - ZONA CUYO Y CORDOBA,EX-2017-23744442-   -APN-DC#ME,82/000 - Dirección General de Administración y Gestión Financiera - ME
9,82-1072-CON18,COBA SRL - MATEO CONSTRUCTORA SRL UNION TRANSITORIA,30716047624,Original,Perfeccionado,17/10/2018,24.763.54732,Peso Argentino,82-0029-LPU17,Adjudicado,CONSTRUCCION DE JARDINES DE INFANTES - ZONA CUYO Y CORDOBA,EX-2017-23744442-   -APN-DC#ME,82/000 - Dirección General de Administración y Gestión Financiera - ME
0,82-1074-CON18,CODI S.R.L.,30660523932,Original,Perfeccionado,23/10/2018,16.924.17294,Peso Argentino,82-0030-LPU17,Adjudicado,Construcción de Jardines de Infantes. Zona CENTRO NORTE,EX-2017-24019677-   -APN-DC#ME,82/000 - Dirección General de Administración y Gestión Financiera - ME
1,82-1076-CON18,CODI S.R.L.,30660523932,Original,Perfeccionado,23/10/2018,16.302.00379,Peso Argentino,82-0030-LPU17,Adjudicado,Construcción de Jardines de Infantes. Zona CENTRO NORTE,EX-2017-24019677-   -APN-DC#ME,82/000 - Dirección General de Administración y Gestión Financiera - ME
2,82-1088-CON18,CODI S.R.L.,30660523932,Original,Perfeccionado,23/10/2018,27.070.73987,Peso Argentino,82-0030-LPU17,Adjudicado,Construcción de Jardines de Infantes. Zona CENTRO NORTE,EX-2017-24019677-   -APN-DC#ME,82/000 - Dirección General de Administración y Gestión Financiera - ME
3,82-1077-CON18,CONSTRUCTORA VENETTO S.A.,30709662674,Original,Perfeccionado,19/10/2018,15.929.46448,Peso Argentino,82-0030-LPU17,Adjudicado,Construcción de Jardines de Infantes. Zona CENTRO NORTE,EX-2017-24019677-   -APN-DC#ME,82/000 - Dirección General de Administración y Gestión Financiera - ME
4,82-1078-CON18,CONSTRUCTORA VENETTO S.A.,30709662674,Original,Perfeccionado,19/10/2018,15.925.73518,Peso Argentino,82-0030-LPU17,Adjudicado,Construcción de Jardines de Infantes. Zona CENTRO NORTE,EX-2017-24019677-   -APN-DC#ME,82/000 - Dirección General de Administración y Gestión Financiera - ME
5,82-1079-CON18,CONSTRUCTORA VENETTO S.A.,30709662674,Original,Perfeccionado,19/10/2018,15.921.31857,Peso Argentino,82-0030-LPU17,Adjudicado,Construcción de Jardines de Infantes. Zona CENTRO NORTE,EX-2017-24019677-   -APN-DC#ME,82/000 - Dirección General de Administración y Gestión Financiera - ME
0,451-1000-CON18,COARCO SA,30516500634,Original,Perfeccionado,16/3/2018,108.866.02181,Peso Argentino,451-0022-LPU17,Adjudicado,"“Rehabilitación y Mantenimiento Vial, de Aceras y de la Red Pluvial en la Ciudad de Mar del Plata”",EX-2017-30778800-   -APN-DCTYAOPT#MTR,451/000 - Dirección de Contratación de Bienes y Servicios - MTR
0,,,,,,,,,451-0021-LPU17,Publicado_error,,,
0,452-1001-CON18,PEITEL S.A.,30516847472,Original,Perfeccionado,06/6/2018,186.379.15000,Peso Argentino,452-0008-LPU17,Adjudicado,Contratación y Ejecución de Montaje de Plantas Compresoras,EX-2017-26970243-   -APN-DCC#MEM,452/000 - Dirección General de Administración y Finanzas - MEM
1,452-1002-CON18,PEITEL S.A.,30516847472,Original,Perfeccionado,06/6/2018,41.803.21600,Peso Argentino,452-0008-LPU17,Adjudicado,Contratación y Ejecución de Montaje de Plantas Compresoras,EX-2017-26970243-   -APN-DCC#MEM,452/000 - Dirección General de Administración y Finanzas - MEM
2,452-1003-CON18,PEITEL S.A.,30516847472,Original,Perfeccionado,06/6/2018,161.865.53800,Peso Argentino,452-0008-LPU17,Adjudicado,Contratación y Ejecución de Montaje de Plantas Compresoras,EX-2017-26970243-   -APN-DCC#MEM,452/000 - Dirección General de Administración y Finanzas - MEM
0,81/9-1096-CON18,EVARSA- EVALUACION DE RECURSOS SA,30661756299,Original,Perfeccionado,24/4/2018,692.022.16200,Peso Argentino,81/9-0047-LPU17,Adjudicado,Red Hidrológica Nacional- Período 2018-2023,EX-2017-33671825-   -APN-DNCYPRH#MI,81/9 - Recursos Hídricos
0,,,,,,,,,82-0035-LPU17,Dejado Sin Efecto,CONSTRUCCION DE JARDINES DE INFANTES - ZONA PATAGONIA NORTE,EX-2017-28062229-   -APN-DC#ME,82/000 - Dirección General de Administración y Gestión Financiera - ME
0,451-1006-CON18,BRIALES S.A.,30610809991,Original,Cumplido,24/4/2018,143.063.75639,Peso Argentino,451-0002-LPU18,Adjudicado,"Rehabilitación y Mantenimiento Vial, de Aceras y de la Red Pluvial en la Región Metropolitana Bs As",EX-2018-01915722-   -APN-DCTYAOPT#MTR,451/000 - Dirección de Contratación de Bienes y Servicios - MTR
1,501-0470-CON20,BRIALES S.A.,30610809991,Original,Perfeccionado,24/4/2018,143.063.75639,Peso Argentino,451-0002-LPU18,Adjudicado,"Rehabilitación y Mantenimiento Vial, de Aceras y de la Red Pluvial en la Región Metropolitana Bs As",EX-2018-01915722-   -APN-DCTYAOPT#MTR,451/000 - Dirección de Contratación de Bienes y Servicios - MTR
2,451-1003-CON18,COARCO SA,30516500634,Original,Cumplido,20/4/2018,618.570.06966,Peso Argentino,451-0002-LPU18,Adjudicado,"Rehabilitación y Mantenimiento Vial, de Aceras y de la Red Pluvial en la Región Metropolitana Bs As",EX-2018-01915722-   -APN-DCTYAOPT#MTR,451/000 - Dirección de Contratación de Bienes y Servicios - MTR
3,501-0469-CON20,COARCO SA,30516500634,Original,Perfeccionado,20/4/2018,618.570.06966,Peso Argentino,451-0002-LPU18,Adjudicado,"Rehabilitación y Mantenimiento Vial, de Aceras y de la Red Pluvial en la Región Metropolitana Bs As",EX-2018-01915722-   -APN-DCTYAOPT#MTR,451/000 - Dirección de Contratación de Bienes y Servicios - MTR
4,451-1002-CON18,CONCRET NOR S.A.,30693276760,Original,Cumplido,20/4/2018,591.484.07021,Peso Argentino,451-0002-LPU18,Adjudicado,"Rehabilitación y Mantenimiento Vial, de Aceras y de la Red Pluvial en la Región Metropolitana Bs As",EX-2018-01915722-   -APN-DCTYAOPT#MTR,451/000 - Dirección de Contratación de Bienes y Servicios - MTR
5,501-0468-CON20,CONCRET NOR S.A.,30693276760,Original,Perfeccionado,20/4/2018,591.484.07021,Peso Argentino,451-0002-LPU18,Adjudicado,"Rehabilitación y Mantenimiento Vial, de Aceras y de la Red Pluvial en la Región Metropolitana Bs As",EX-2018-01915722-   -APN-DCTYAOPT#MTR,451/000 - Dirección de Contratación de Bienes y Servicios - MTR
6,451-1007-CON18,CONSTRUCCIONES INGEVIAL S.A.,30650833380,Original,Cumplido,20/4/2018,35.635.34300,Peso Argentino,451-0002-LPU18,Adjudicado,"Rehabilitación y Mantenimiento Vial, de Aceras y de la Red Pluvial en la Región Metropolitana Bs As",EX-2018-01915722-   -APN-DCTYAOPT#MTR,451/000 - Dirección de Contratación de Bienes y Servicios - MTR
7,501-0471-CON20,CONSTRUCCIONES INGEVIAL S.A.,30650833380,Original,Perfeccionado,20/4/2018,35.635.34300,Peso Argentino,451-0002-LPU18,Adjudicado,"Rehabilitación y Mantenimiento Vial, de Aceras y de la Red Pluvial en la Región Metropolitana Bs As",EX-2018-01915722-   -APN-DCTYAOPT#MTR,451/000 - Dirección de Contratación de Bienes y Servicios - MTR
8,451-1001-CON18,CONSTRUMEX S.A.,30696394217,Original,Perfeccionado,20/4/2018,583.548.83891,Peso Argentino,451-0002-LPU18,Adjudicado,"Rehabilitación y Mantenimiento Vial, de Aceras y de la Red Pluvial en la Región Metropolitana Bs As",EX-2018-01915722-   -APN-DCTYAOPT#MTR,451/000 - Dirección de Contratación de Bienes y Servicios - MTR
9,451-1005-CON18,MARCALBA S.A.,30608674833,Original,Perfeccionado,20/4/2018,634.578.18748,Peso Argentino,451-0002-LPU18,Adjudicado,"Rehabilitación y Mantenimiento Vial, de Aceras y de la Red Pluvial en la Región Metropolitana Bs As",EX-2018-01915722-   -APN-DCTYAOPT#MTR,451/000 - Dirección de Contratación de Bienes y Servicios - MTR
10,451-1004-CON18,POSE SA,30709107123,Original,Perfeccionado,20/4/2018,610.910.69868,Peso Argentino,451-0002-LPU18,Adjudicado,"Rehabilitación y Mantenimiento Vial, de Aceras y de la Red Pluvial en la Región Metropolitana Bs As",EX-2018-01915722-   -APN-DCTYAOPT#MTR,451/000 - Dirección de Contratación de Bienes y Servicios - MTR
0,,,,,,,,,82-0036-LPU17,Con_Documentos_Contractuales_Autorizados_error,,,
0,451-1023-CON18,BRICONS S.A.I.C.F.I.,30541068151,Original,Cumplido,15/8/2018,166.459.80704,Peso Argentino,451-0004-LPU18,Adjudicado,METROBÚS CIUDAD DE NEUQUÉN,EX-2018-05390453-   -APN-DCTYAOPT#MTR,451/000 - Dirección de Contratación de Bienes y Servicios - MTR
1,501-0467-CON20,BRICONS S.A.I.C.F.I.,30541068151,Original,Perfeccionado,15/8/2018,166.459.80704,Peso Argentino,451-0004-LPU18,Adjudicado,METROBÚS CIUDAD DE NEUQUÉN,EX-2018-05390453-   -APN-DCTYAOPT#MTR,451/000 - Dirección de Contratación de Bienes y Servicios - MTR
0,,,,,,,,,46/18-0006-LPU18,Dejado Sin Efecto,BACHEO SUPERFICIAL CON MEZCLA ASFALTICA EN CALIENTE,EX-2018-14743687-   -APN-DCHA#DNV,46/18 - 18° Chaco - DNV
0,,,,,,,,,82-0003-LPU18,Dejado Sin Efecto,Construccion de Jardines de Infantes Zona - PATAGONIA SUR,EX-2018-12469460-   -APN-DC#ME,82/000 - Dirección General de Administración y Gestión Financiera - ME
0,,,,,,,,,82-0004-LPU18,Dejado Sin Efecto,CONSTRUCCION DE JARDINES DE INFANTES - ZONA CENTRO NORTE,EX-2018-12470301-   -APN-DC#ME,82/000 - Dirección General de Administración y Gestión Financiera - ME
0,,,,,,,,,82-0005-LPU18,Dejado Sin Efecto,Construcción de Jardines de Infantes ZONA: PATAGONIA NORTE,EX-2018-12491360-   -APN-DC#ME,82/000 - Dirección General de Administración y Gestión Financiera - ME
0,82-1033-CON19,iprar srl,33711803039,Original,Perfeccionado,22/4/2019,38.794.97869,Peso Argentino,82-0010-LPU18,Adjudicado,Construccion de Jardines de Infantes Zona Metropolitana,EX-2018-21683361-   -APN-DC#ME,82/000 - Dirección General de Administración y Gestión Financiera - ME
0,451-1598-CON18,CONSTRUMEX S.A.,30696394217,Original,Cumplido,23/10/2018,299.750.00058,Peso Argentino,451-0011-LPU18,Adjudicado,METROBUS QUILMES,EX-2018-26260538-   -APN-DCTYAOPT#MTR,451/000 - Dirección de Contratación de Bienes y Servicios - MTR
1,501-0472-CON20,CONSTRUMEX S.A.,30696394217,Original,Perfeccionado,23/10/2018,299.750.00058,Peso Argentino,451-0011-LPU18,Adjudicado,METROBUS QUILMES,EX-2018-26260538-   -APN-DCTYAOPT#MTR,451/000 - Dirección de Contratación de Bienes y Servicios - MTR
0,39-1000-CON19,CONAL S.A.,30711376905,Original,Perfeccionado,20/5/2019,38.693.66573,Peso Argentino,39-0016-LPU18,Adjudicado,CONSTRUCCIÓN DE UN EDIFICIO PARA EL POLO LOGÍSTICO POSADAS.,EX-2018-37212450-   -APN-DAFI#PNA,39 - Dirección General de Administración- PNA
0,74-1000-CON18,E.V.A. S.A.,30702250400,Original,Rescindido,12/12/2018,63.736.11656,Peso Argentino,74-0013-LPU18,Adjudicado,Mejoramiento y reparacion Camino Acceso Cerro Tronador - PN Nahuel Huapi,EX-2018-46713059-   -APN-DNIN#APNAC,74/00 - ADMINISTRACIÓN DE PARQUES NACIONALES - COORDINACIÓN DE CONTRATACIONES
1,74-1094-CON19,E.V.A. S.A.,30702250400,Modificacion_Obra,Perfeccionado,08/10/2019,76.451.48556,Peso Argentino,74-0013-LPU18,Adjudicado,Mejoramiento y reparacion Camino Acceso Cerro Tronador - PN Nahuel Huapi,EX-2018-46713059-   -APN-DNIN#APNAC,74/00 - ADMINISTRACIÓN DE PARQUES NACIONALES - COORDINACIÓN DE CONTRATACIONES
0,,,,,,,,,279-0004-LPU18,Desierto,Reparación parcial de la cubierta y reacondicionamiento del sector sanitario de UOSP San Fernando,EX-2018-46135266-   -APN-DCOMP#PSA,279/000 - Departamento de Compras - PSA
